rating,teks_bersih
5,sangat bantu ada sea bank mudah transfer biaya gratis terimakasih sea bank
1,mau pinjam susah sea bank nunggu hari
5,sangat bantu
5,bangett
5,gratis admin mantap
5,mudah simpel aman
5,aplikasi sangat mudah transaksi
5,senang guna seabank tp sayang bisa lolos seabank pinjam
5,sngat mudah saya
3,maaf kak nomor hp akun seabank udah ga aktif ken ganti nomor baru kok susah banget posisi akun nya hp satu rusak terimakasih kak
5,mantap
5,gratis biaya admin
4,transaksi mudah cepat moga lebih manfaat seabank
5,puas luar biasa
1,cs nya ngopi gua nelfon udah beberapa kali sampe pulsa gua rb abis semua buat nelfon lu pada tapi jawab nol tangan masalah sangat lambat
5,good
3,ntap
5,bagus
5,sangat puas
5,terimaksihh seabank baik sekali
5,sangat mudah paham
5,
5,suka proses cepat
4,sajauh bagus cuma pernah x transfer dari bank kaltimtara rek ini gak masuk urus nya minggu an alhamdulillah masuk
5,mantap dah kecewa pake bri pindah sini malah god tier
5,good
3,cukup tahun dulu bagus si sistem terlalu pilih kasih yg baru bulan dapat pinjam sya yg tahun dapat pinjam
5,sangat senang percaya
5,paling top mudah guna anya
5,gratis biaya adm tf bank x sangat manfaat
5,segala nya jadi mudah seabank
1,skrng pakai menu pinjam nya padahal tidak ada tunggak bangkrut
5,baik
5,keren
5,mudah dal transaksi
5,sea bank saat tiap buka aplikasi arah playstore y min bawah nya terang uji beta terus logo warna abu
4,mantaaappp
5,baik atm buku pesan by online di kirim customer sya yakin lebih baik
5,good apk
5,enak make nya ga ribet
5,bank sangat bagus
4,bermanpa at sekali
5,mntap pokok selalu sukses sea bank
5,mantap
