teks_ulasan,rating,tanggal
Sangat membantu dengan adanya Sea Bank. Mempermudah transfer & biayanya gratis. Terimakasih Sea Bank,5,2026-07-10 14:01:59
mau pinjaman susah sea bank harus nunggu 30 hari,1,2026-07-10 13:57:24
sangat membantu,5,2026-07-10 13:53:36
ok Bangett,5,2026-07-10 13:51:22
gratis admin mantap,5,2026-07-10 13:50:38
"Mudah, simpel dan aman",5,2026-07-10 13:50:24
aplikasi sangat memudahkan transaksi,5,2026-07-10 13:50:23
senang menggunakan seabank tp sayang belum bisa lolos seabank pinjam,5,2026-07-10 13:50:19
sngat mempermudah untuk saya,5,2026-07-10 13:46:37
"maaf kak nomor hp akun seabank saya udah ga aktif pengen di ganti ke nomor yang baru kok susah banget ya posisi akun nya di hp satu lagi rusak, terimakasih kak.",3,2026-07-10 13:44:48
tapi mantap,5,2026-07-10 13:43:31
gratis biaya admin,5,2026-07-10 13:43:31
transaksi mudah dan cepat semoga bisa lebih bermanfaat seabank,4,2026-07-10 13:43:27
puas dan luar biasa,5,2026-07-10 13:40:29
cs nya lagi pada ngopi? gua nelfon udah beberapa kali sampe pulsa gua 35rb abis semua buat nelfon lu pada. tapi jawabannya NOL! penanganan masalahnya SANGAT LAMBAT!,1,2026-07-10 13:39:36
good,5,2026-07-10 13:38:39
ntap,3,2026-07-10 13:37:51
bagus,5,2026-07-10 13:37:32
sangat puas,5,2026-07-10 13:34:08
Terimaksihh seabank baik sekali,5,2026-07-10 13:33:12
sangat mudah dipahami,5,2026-07-10 13:32:07
ok,5,2026-07-10 13:31:39
good,5,2026-07-10 13:31:19
suka proses cepat,5,2026-07-10 13:30:24
sajauh ini bagus.. cuma pernah 1 x transfer saya dari bank kaltimtara ke rek saya ini gak masuk dan urus nya 1 minggu an.. tapi alhamdulillah masuk,4,2026-07-10 13:22:05
bagus,5,2026-07-10 13:21:34
"mantap, dah kecewa pake BRI pindah sini malah God tier",5,2026-07-10 13:19:12
bagus,5,2026-07-10 13:19:00
sangat membantu,5,2026-07-10 13:18:33
Good,5,2026-07-10 13:18:08
bagus,5,2026-07-10 13:15:08
"cukup 3 untuk 3 tahun saya dulu,,bagus si tapi sistem terlalu pilih kasih yg baru 1 bulan bisa dapat pinjaman sya yg 3 tahun belum dapat pinjam,,",3,2026-07-10 13:13:31
sangat senang dan terpercaya,5,2026-07-10 13:09:18
paling top mudah pengguna anya,5,2026-07-10 13:08:58
gratis biaya adm tf ke bank lain 100x...sangat bermanfaat,5,2026-07-10 13:07:30
segala nya menjadi mudah dengan seabank,5,2026-07-10 13:06:40
"skrng sudah tidak bisa dipakai menu pinjaman nya , padahal tidak ada tunggakan, bangkrut kah ?",1,2026-07-10 13:01:01
terbaik,5,2026-07-10 12:59:29
keren,5,2026-07-10 12:56:59
memudahkan dalan transaksi,5,2026-07-10 12:56:04
"Sea bank saya saat ini setiap buka aplikasi, kenapa mengarahkan ke playstore y min.. ada dibawah nya keterangan pengujian beta.. terus logonya warna abu",5,2026-07-10 12:55:57
ok,3,2026-07-10 12:55:32
mantaaappp,4,2026-07-10 12:55:08
ok... sebaiknya ATM dan buku bisa di pesan by online di kirim ke customer... sya yakin akan lebih baik,5,2026-07-10 12:54:54
good apk,5,2026-07-10 12:53:38
enak make nya ga ribet,5,2026-07-10 12:53:35
Bank yang sangat Bagus.,5,2026-07-10 12:52:43
"bermanpa,at sekali",4,2026-07-10 12:50:19
mntap pokok selalu sukses sea bank,5,2026-07-10 12:48:34
mantap,5,2026-07-10 12:46:10
